MODEL	MAINEFFS	SIZE	LOG-LIKELIHOOD
100	-1;506;812;2097;4275;5688;7208	7	0
101	-1;812;2097;4275;5431;5688;7208	7	0
102	-1;554;812;2097;4275;5431;5688;7208	8	0
103	-1;812;2097;4275;5431;5688;5918;7208	8	0
104	-1;812;2097;4275;4665;5431;5688;5918	8	0
105	-1;531;2097;4275;4665;5431;5688;5918	8	0
106	-1;531;4275;4665;5431;5688;5918	7	0
107	-1;531;4275;4665;5431;5918;6355	7	0
108	-1;2297;4275;4665;5431;5918;6355	7	0
109	-1;2297;4275;4665;5918;6355;6571	7	0
110	-1;411;4275;4665;5918;6355;6571	7	0
111	-1;411;4275;4665;5918;6065;6355	7	0
112	-1;411;4665;5621;5918;6065;6355	7	0
113	-1;411;4275;4665;5621;5918;6065;6355	8	0
114	-1;411;4033;4275;4665;5621;5918;6065	8	0
115	-1;411;3309;4033;4275;4665;5621;5918;6065	9	0
116	-1;411;3309;4033;4275;5621;5918;6065	8	0
117	-1;411;1569;3309;4033;5621;5918;6065	8	0
118	-1;411;1565;1569;3309;4033;5621;5918;6065	9	0
119	-1;411;1565;1569;3309;4033;5621;5918;6065;6672	10	0
120	-1;411;1565;1569;3309;4033;5821;5918;6065;6672	10	0
121	-1;411;1565;1569;2849;3309;4033;5821;5918;6672	10	0
122	-1;1565;1569;2849;3309;4033;5821;5918;6672	9	0
123	-1;1569;2849;3309;4033;5821;5918;5979;6672	9	0
124	-1;1569;3309;4033;5821;5918;5979;6386;6672	9	0
125	-1;1569;3309;4033;5821;5918;6386;6672	8	0
126	-1;1569;4033;5821;5918;6386;6672	7	0
127	-1;1569;2242;4033;5821;5918;6386;6672	8	0
128	-1;1569;2242;2515;4033;5821;5918;6672	8	0
129	-1;1569;2242;2515;5821;5918;6401;6672	8	0
130	-1;1569;2242;3011;5821;5918;6401;6672	8	0
131	-1;1569;2242;3011;3899;5821;5918;6401;6672	9	0
132	-1;731;1569;2242;3011;5821;5918;6401;6672	9	0
133	-1;731;1569;2242;3011;4747;5821;6401;6672	9	0
134	-1;731;2242;3011;4747;5821;6401;6672	8	0
135	-1;731;2242;3011;3818;4747;5821;6672	8	0
136	-1;731;3011;3818;4328;4747;5821;6672	8	0
137	-1;731;3011;3818;4119;4328;4747;5821;6672	9	0
138	-1;731;3011;3818;4119;4328;4747;5821;6672;6723	10	0
139	-1;731;3011;4119;4328;4342;4747;5821;6672;6723	10	0
140	-1;731;3011;4119;4328;4342;4747;5821;6672;6723;7186	11	0
141	-1;731;4119;4328;4342;4747;5821;6672;6723;7186	10	0
142	-1;731;4119;4328;4342;4747;5821;6672;6723;7186	10	0
143	-1;731;3765;4119;4328;4342;4747;6672;6723;7186	10	0
144	-1;731;3765;4119;4342;4747;6672;6723;7186	9	0
145	-1;731;2436;3765;4119;4342;4747;6672;6723;7186	10	0
146	-1;731;2436;2574;3765;4342;4747;6672;6723;7186	10	0
147	-1;731;1681;2436;2574;3765;4342;4747;6672;6723;7186	11	0
148	-1;731;1681;2436;3765;4342;4747;6652;6672;6723;7186	11	0
149	-1;731;1681;2436;3765;4342;4747;6059;6652;6723;7186	11	0
150	-1;731;1681;2436;3765;4342;4747;6059;6723;7186	10	0
151	-1;731;1681;2436;3765;4747;5183;6059;6723;7186	10	0
152	-1;731;1681;2436;3765;4747;5183;6059;6723;7186	10	0
153	-1;1681;2436;3765;4583;4747;5183;6059;6723;7186	10	0
154	-1;1681;2436;3765;4050;4583;4747;5183;6059;6723;7186	11	0
155	-1;1461;1681;2436;4050;4583;4747;5183;6059;6723;7186	11	0
156	-1;1461;1681;2436;4050;4583;4747;5183;6059;6723;7186	11	0
157	-1;1461;1681;2436;4050;4583;4747;5183;6059;6723;7186;7249	12	0
158	-1;1461;1681;2436;4050;4583;4747;5183;6723;7186;7249	11	0
159	-1;1461;1681;2436;4050;4583;4747;5183;6723;7186;7249	11	0
160	-1;618;1461;1681;2436;4050;4583;4747;6723;7186;7249	11	0
161	-1;1461;1681;2436;4050;4583;4747;6723;7168;7186;7249	11	0
162	-1;1461;1681;2436;4050;4747;6316;6723;7168;7186;7249	11	0
163	-1;1461;1681;2436;3355;4050;4747;6723;7168;7186;7249	11	0
164	-1;1461;2436;3355;4050;4747;6723;7168;7186;7249	10	0
165	-1;1461;2074;2436;3355;4050;4747;6723;7168;7186;7249	11	0
166	-1;1461;2074;2436;3355;4050;4141;4747;6723;7168;7186;7249;3355 4141	13	0
167	-1;663;1461;2074;2436;3355;4050;4141;4747;6723;7168;7186;7249;663 7186;3355 4141	15	0
168	-1;663;1461;2436;3355;4050;4141;4747;5065;6723;7168;7186;7249;663 7186;3355 4141	15	0
169	-1;663;1461;2436;3355;4050;4141;4747;5065;6723;7168;7186;7249;663 7186;3355 4141	15	0
170	-1;663;1461;2436;3355;4050;4141;4747;5065;6564;6723;7168;7186;7249;663 7186;3355 4141	16	0
171	-1;663;2436;3355;4050;4141;4747;5065;6564;6723;7168;7186;7249;663 7186;3355 4141	15	0
172	-1;663;3355;4050;4141;4747;5065;6564;6723;7168;7186;7249;663 7186;3355 4141	14	0
173	-1;663;2057;3355;4050;4141;4747;5065;6564;6723;7168;7186;7249;663 7186;2057 3355;3355 4141	16	0
174	-1;663;2057;3355;4050;4141;4747;5065;5573;6723;7168;7186;7249;663 7186;2057 3355;3355 4141	16	0
175	-1;663;2057;3355;4050;4141;4747;5065;5573;6723;7168;7186;663 7186;2057 3355;3355 4141	15	0
176	-1;663;2057;3355;4050;4141;4747;5065;5547;5573;6723;7168;7186;663 7186;2057 3355	15	0
177	-1;663;2057;3355;4050;4141;4747;5065;5547;5573;6723;7168;7186;2057 3355	14	0
178	-1;663;939;2057;3355;4050;4141;4747;5065;5547;5573;6723;7168;7186	14	0
179	-1;663;939;2057;3355;4050;4141;5065;5547;5573;6723;7168;7186;7235	14	0
180	-1;663;939;2057;3355;4050;4141;5065;5547;6723;7168;7186;7235	13	0
181	-1;663;939;2057;3355;4050;4141;5065;5547;7168;7186;7235	12	0
182	-1;663;939;2057;3355;4050;4141;5065;5547;6154;7168;7186;7235	13	0
183	-1;663;939;2057;3355;4050;4141;5547;5780;6154;7168;7186;7235	13	0
184	-1;663;939;2057;3355;4050;4141;4725;5547;5780;6154;7168;7235	13	0
185	-1;663;939;3355;4050;4141;4725;4863;5547;5780;6154;7168;7235	13	0
186	-1;663;939;2640;3355;4050;4141;4725;4863;5547;5780;6154;7168;7235	14	0
187	-1;663;939;1793;2640;3355;4141;4725;4863;5547;5780;6154;7168;7235	14	0
188	-1;663;939;1793;2640;3355;4141;4725;4863;5547;6108;6154;7168;7235	14	0
189	-1;663;939;1793;2640;2753;3355;4725;4863;5547;6108;6154;7168;7235	14	0
190	-1;663;939;1793;2640;2753;3355;4725;4863;5194;5547;6108;6154;7168;7235	15	0
191	-1;663;939;1793;2640;2753;3181;3355;4725;4863;5194;5547;6154;7168;7235	15	0
192	-1;663;939;1793;2640;2753;3181;3355;4725;4863;4895;5194;5547;6154;7235	15	0
193	-1;663;939;1793;2640;2753;3181;3355;4725;4863;4895;5194;6154;6432;7235	15	0
194	-1;663;1793;2640;2753;3181;3355;3557;4725;4863;4895;5194;6154;6432;7235	15	0
195	-1;663;1793;2640;3181;3355;3557;3563;4725;4863;4895;5194;6154;6432;7235	15	0
196	-1;1793;2640;3181;3355;3557;3563;4725;4863;4895;5194;6154;6432;7079;7235	15	0
197	-1;1793;2640;3181;3355;3557;3563;4725;4863;4895;5194;6154;7079;7235	14	0
198	-1;1793;2640;3181;3557;3563;4725;4863;4895;5194;5770;6154;7079;7235	14	0
199	-1;1793;2640;3181;3557;3563;4725;4863;4895;5194;6154;7079;7235	13	0
200	-1;1793;2640;3181;3500;3557;3563;4725;4863;4895;5194;6154;7079;7235	14	0
201	-1;1793;2640;3181;3557;3563;4725;4863;4895;5194;6154;7079;7235	13	0
202	-1;129;1793;2640;3181;3557;4725;4863;4895;5194;6154;7079;7235	13	0
203	-1;129;1793;2640;3181;4725;4863;4895;5194;6154;7079;7235	12	0
204	-1;129;1793;2640;3181;3743;4725;4895;5194;6154;7079;7235	12	0
205	-1;129;1793;2640;2900;3181;3743;4725;4895;5194;6154;7079	12	0
206	-1;129;1050;1793;2640;2900;3743;4725;4895;5194;6154;7079	12	0
207	-1;129;1050;1793;2640;2826;2900;3743;4725;4895;5194;6154	12	0
208	-1;129;1050;1793;2640;2826;2900;3743;4725;4895;5194;6154;6226	13	0
209	-1;129;1050;1793;2640;2826;2900;3743;4725;4895;5194;6154	12	0
210	-1;129;1050;1793;2640;2826;3743;4725;4895;5194;6154;6767	12	0
211	-1;129;1050;1793;2640;2826;3743;4725;5194;6154;6767	11	0
212	-1;111;129;1050;2640;2826;3743;4725;5194;6154;6767	11	0
213	-1;111;129;2640;2826;3743;4725;5016;5194;6154;6767	11	0
214	-1;111;129;2640;2826;3743;4725;5016;6154;6767	10	0
215	-1;111;129;2826;3743;4725;5016;6154;6767	9	0
216	-1;129;2826;3743;4725;5016;6154;6767	8	0
217	-1;129;3743;4725;5016;6154;6767	7	0
218	-1;3743;4725;5016;6154;6767	6	0
219	-1;1450;4725;5016;6154;6767	6	0
220	-1;1450;5016;5089;6154;6767	6	0
221	-1;1450;2708;5016;6154;6767	6	0
222	-1;1450;2708;4953;5016;6154	6	0
223	-1;1450;1833;2708;4953;6154	6	0
224	-1;1450;1833;2708;3252;4953	6	0
225	-1;1833;2708;3252;4953;6052	6	0
226	-1;401;2708;3252;4953;6052	6	0
227	-1;401;2708;4953;5686;6052	6	0
228	-1;401;2708;4051;4953;5686;6052	7	0
229	-1;401;2708;2811;4051;4953;5686	7	0
230	-1;401;2708;2811;4051;4518;4953;5686	8	0
231	-1;401;2708;2811;4051;4518;4953;5360;5686	9	0
232	-1;401;2708;2811;4051;4518;4953;5686	8	0
233	-1;401;2708;2811;4051;4518;4952;4953	8	0
234	-1;401;2387;2708;2811;4051;4518;4952;4953	9	0
235	-1;186;401;2387;2708;2811;4051;4518;4952	9	0
236	-1;186;401;2387;2708;2811;4051;4952;6095	9	0
237	-1;186;401;2387;2708;4051;4952;6095;6660	9	0
238	-1;401;2387;2708;4051;4952;6095;6660	8	0
239	-1;401;2387;2708;4051;4666;4952;6095;6660	9	0
240	-1;401;2387;2708;4051;4666;4952;6095;6660	9	0
241	-1;57;401;2387;2708;4051;4952;6095;6660	9	0
242	-1;57;401;2016;2387;2708;4051;4952;6095;6660	10	0
243	-1;57;401;1870;2016;2387;2708;4051;4952;6095;6660	11	0
244	-1;401;1870;2016;2387;2708;4051;4952;6095;6660	10	0
245	-1;401;1870;2016;2387;2708;3632;4051;4952;6095;6660	11	0
246	-1;401;1870;2016;2708;3632;4051;4952;6095;6660	10	0
247	-1;401;1870;2708;3632;4051;4952;5169;6095;6660	10	0
248	-1;401;1870;2708;3632;3644;4051;4952;5169;6095;6660	11	0
249	-1;401;1870;2708;3632;3644;4051;5169;5683;6095;6660	11	0
250	-1;401;1870;2708;3632;3644;4051;5169;5683;6095;6660	11	0
251	-1;401;1870;2708;3632;3644;4051;5683;6095;6660;6779	11	0
252	-1;401;1870;2708;3644;4051;5683;6095;6660;6779;6871	11	0
253	-1;401;1870;2708;3644;4051;6095;6660;6779;6871	10	0
254	-1;401;1870;1881;2708;3644;4051;6095;6660;6871	10	0
255	-1;401;1870;2708;3644;4051;4282;6095;6660;6871	10	0
256	-1;1870;2708;3644;4051;4282;6095;6660;6871	9	0
257	-1;1870;2708;3644;3835;4051;4282;6095;6660;6871	10	0
258	-1;1842;1870;2708;3644;3835;4051;4282;6095;6660;6871	11	0
259	-1;1842;1870;2708;3644;3835;4051;6095;6283;6660;6871	11	0
260	-1;1870;2708;3644;3835;4051;6095;6283;6660;6871;7275	11	0
261	-1;1870;2708;3644;3835;6095;6147;6283;6660;6871;7275	11	0
262	-1;1870;2708;3644;3835;5735;6095;6147;6283;6871;7275	11	0
263	-1;1870;3644;3835;5735;6095;6147;6283;6871;7275	10	0
264	-1;407;1870;3644;3835;5735;6095;6147;6283;6871;7275	11	0
265	-1;407;1709;3644;3835;5735;6095;6147;6283;6871;7275	11	0
266	-1;407;1709;3644;3835;4767;5735;6095;6147;6283;6871;7275	12	0
267	-1;407;1709;1798;3644;3835;4767;6095;6147;6283;6871;7275	12	0
268	-1;407;1709;1798;3644;3835;4767;6095;6147;6283;7275	11	0
269	-1;407;1798;3644;3835;4767;6095;6147;6283;7275	10	0
270	-1;407;1798;3644;3835;4767;6147;6283;7275	9	0
271	-1;407;1798;3835;4767;4884;6147;6283;7275	9	0
272	-1;407;1798;2148;3835;4767;4884;6147;7275	9	0
273	-1;407;1798;2304;3835;4767;4884;6147;7275	9	0
274	-1;407;1798;2304;3835;4767;4884;6147;7275	9	0
275	-1;407;1798;2304;3835;4767;4884;6147;7275	9	0
276	-1;1798;2304;3835;4767;4884;6147;7275	8	0
277	-1;1562;1798;3835;4767;4884;6147;7275	8	0
278	-1;1562;1798;3835;4884;6147;7275;7280	8	0
279	-1;1261;1562;1798;3835;4884;6147;7275;7280	9	0
280	-1;1261;1798;3835;4404;4884;6147;7275;7280	9	0
281	-1;1261;1798;3835;4404;4884;7275;7280	8	0
282	-1;1261;1798;3835;4404;4649;4884;7275;7280	9	0
283	-1;1261;1798;3835;4404;4649;4884;7275;7280;7284	10	0
284	-1;1261;1798;1878;3835;4404;4649;7275;7280;7284	10	0
285	-1;1261;1798;1878;3835;4404;6166;7275;7280;7284	10	0
286	-1;1261;1682;1798;1878;3835;4404;6166;7275;7284	10	0
287	-1;1261;1682;1798;1878;3835;4404;4780;6166;7275;7284	11	0
288	-1;1261;1567;1682;1798;1878;3835;4404;4780;6166;7275;7284	12	0
289	-1;1261;1567;1682;1798;3835;4404;4780;6166;6841;7275;7284	12	0
290	-1;1261;1567;1682;1798;3835;4404;4780;5041;6166;6841;7284	12	0
291	-1;1261;1567;1682;1798;3835;4404;4780;5041;5897;6166;6841;7284	13	0
292	-1;1567;1682;1798;3835;4404;4780;5041;5897;6166;6841;7284	12	0
293	-1;1567;1682;1798;3835;4404;4780;4909;5897;6166;6841;7284	12	0
294	-1;1567;1682;1798;3835;4278;4780;4909;5897;6166;6841;7284	12	0
295	-1;1567;1682;1798;3835;4274;4278;4909;5897;6166;6841;7284	12	0
296	-1;1567;1682;1798;3835;4274;4278;4381;4909;5897;6166;6841;7284	13	0
297	-1;115;1567;1682;1798;3835;4274;4381;4909;5897;6166;6841;7284	13	0
298	-1;115;929;1682;1798;3835;4274;4381;4909;5897;6166;6841;7284	13	0
299	-1;115;929;1682;1798;3835;4381;4909;5897;6166;6841;7284	12	0
300	-1;115;929;1682;1798;3835;4381;4909;5897;6166;7284	11	0
301	-1;115;929;1682;1798;3835;4381;4879;4909;5897;6166;7284	12	0
302	-1;115;929;1798;3835;4381;4879;4909;5897;6166;7284	11	0
303	-1;33;115;929;1798;3835;4381;4879;4909;5897;7284	11	0
304	-1;33;115;929;1798;3835;4381;4909;5897;7284	10	0
305	-1;33;115;929;3835;4365;4381;4909;5897;7284	10	0
306	-1;33;115;929;3835;4239;4381;4909;5897;7284	10	0
307	-1;33;929;3835;3957;4239;4381;4909;5897;7284	10	0
308	-1;33;929;940;3835;3957;4239;4909;5897;7284	10	0
309	-1;33;929;940;1944;3957;4239;4909;5897;7284	10	0
310	-1;33;929;940;1944;3957;4239;4909;5897;7284	10	0
311	-1;33;929;940;1944;3957;4909;5764;5897;7284	10	0
312	-1;33;929;940;1944;2177;3957;4909;5764;5897;7284	11	0
313	-1;33;929;940;1944;3957;4398;4909;5764;5897;7284	11	0
314	-1;33;929;940;1944;3957;4398;4853;4909;5897;7284	11	0
315	-1;33;929;940;1944;3957;4398;4853;4909;5897	10	0
316	-1;33;929;940;1944;2520;3957;4398;4853;4909;5897	11	0
317	-1;33;929;940;1944;2520;3957;4398;4853;4909	10	0
318	-1;33;929;940;2520;3242;3957;4398;4853;4909	10	0
319	-1;33;929;940;2520;3242;3957;4379;4398;4853;4909	11	0
320	-1;33;940;2520;3242;3957;4379;4398;4404;4853;4909	11	0
321	-1;33;940;2520;3242;4379;4398;4404;4853;4909	10	0
322	-1;33;940;2520;3242;4379;4404;4853;4909;7069	10	0
323	-1;33;940;2520;3242;4379;4404;4450;4909;7069	10	0
324	-1;33;940;1405;3242;4379;4404;4450;4909;7069	10	0
325	-1;33;940;965;1405;3242;4379;4450;4909;7069	10	0
326	-1;33;940;965;1405;3242;4379;4450;4826;7069	10	0
327	-1;33;940;965;1405;3242;4450;4826;7069	9	0
328	-1;33;940;965;1302;1405;3242;4450;4826;7069	10	0
329	-1;33;940;965;1405;3242;4450;4826;7069	9	0
330	-1;33;940;965;1405;3242;4450;4826	8	0
331	-1;33;940;965;1405;1678;3242;4450;4826	9	0
332	-1;33;940;965;1405;3242;4450;4826	8	0
333	-1;33;940;965;1405;2151;4450;4826	8	0
334	-1;33;940;965;1405;2151;4450;4826;7099	9	0
335	-1;33;940;965;1405;2151;4450;4478;7099	9	0
336	-1;33;940;965;1192;1405;2151;4450;4478;7099	10	0
337	-1;33;940;965;1192;1405;2995;4450;4478;7099	10	0
338	-1;33;940;965;1405;2995;4450;4478;7099	9	0
339	-1;33;940;965;1405;2995;4478;7099	8	0
340	-1;33;940;965;1405;2995;4478;7099	8	0
341	-1;33;940;965;1405;2995;4478;7099	8	0
342	-1;33;940;1405;2995;4478;7099	7	0
343	-1;33;940;1405;2995;5846;7099	7	0
344	-1;33;940;1405;2995;5846;6738;7099	8	0
345	-1;33;940;1405;2961;2995;5846;7099	8	0
346	-1;33;940;1405;1536;2995;5846;7099	8	0
347	-1;33;940;1405;1536;1694;2995;5846;7099	9	0
348	-1;33;940;1405;1536;2995;5846;7099	8	0
349	-1;33;940;1405;1536;2995;7099	7	0
350	-1;33;940;1380;1405;1536;2995	7	0
351	-1;33;940;1405;1536;2995;4776	7	0
352	-1;33;940;1405;1536;2995	6	0
353	-1;940;1405;1536;2995	5	0
354	-1;336;940;1405;2995	5	0
355	-1;940;1405;2144;2995	5	0
356	-1;940;1337;1405;2144	5	0
357	-1;940;1337;1405;2144	5	0
358	-1;940;1337;1405;2144;4647	6	0
359	-1;940;1337;2144;4647	5	0
360	-1;54;940;1337;4647	5	0
361	-1;54;377;940;4647	5	0
362	-1;54;355;940;4647	5	0
363	-1;54;355;940;4647;5060	6	0
364	-1;54;355;940;5060	5	0
365	-1;54;355;940;4137;5060	6	0
366	-1;355;940;951;4137;5060	6	0
367	-1;355;940;951;4137;5060;5865	7	0
368	-1;940;951;4137;4549;5060;5865	7	0
369	-1;940;951;1409;4137;5060;5865	7	0
370	-1;940;1409;4137;5060;5865	6	0
371	-1;485;940;1409;4137;5060;5865	7	0
372	-1;485;940;1409;4137;5060;5865	7	0
373	-1;485;940;1409;4137;5060;5865	7	0
374	-1;485;940;1409;4137;5865;6984	7	0
375	-1;485;940;1409;4137;5865;6209;6984	8	0
376	-1;485;940;1409;4137;5865;6209;6984	8	0
377	-1;485;940;1409;4137;5202;5865;6209;6984	9	0
378	-1;91;485;940;4137;5202;5865;6209;6984	9	0
379	-1;91;485;940;4137;5202;5865;6209;6984;4137 5202	10	0
380	-1;91;485;940;2022;4137;5202;6209;6984;4137 5202	10	0
381	-1;91;485;940;2022;4137;5202;6984;4137 5202	9	0
382	-1;91;485;940;1367;2022;4137;5202;6984;4137 5202	10	0
383	-1;91;940;1367;2022;4137;5202;6984;4137 5202	9	0
384	-1;940;1367;2022;4137;5202;6984;4137 5202	8	0
385	-1;940;1367;2022;4137;5202;5315;4137 5202	8	0
386	-1;940;2022;4137;5202;5315;4137 5202	7	0
387	-1;940;4137;5202;5315;4137 5202	6	0
388	-1;4137;5202;5315;6849;4137 5202	6	0
389	-1;4137;5202;5315;6849	5	0
390	-1;4094;4137;5202;5315;6849	6	0
391	-1;4094;4137;5315;6849;7216	6	0
392	-1;4094;4137;5315;7216	5	0
393	-1;3192;4094;4137;5315;7216	6	0
394	-1;2240;3192;4094;5315;7216	6	0
395	-1;2240;3192;5315;7216	5	0
396	-1;2240;2418;3192;7216	5	0
397	-1;2240;2418;3192;4452;7216	6	0
398	-1;2240;2418;4452;7216	5	0
399	-1;2240;2418;4452;7216	5	0
400	-1;2240;2418;4452	4	0
401	-1;2240;2418;4452;7318	5	0
402	-1;2418;4452;6225;7318	5	0
403	-1;2418;3390;4452;6225	5	0
404	-1;2418;3390;6225	4	0
405	-1;2418;6225;6605	4	0
406	-1;2418;5738;6605	4	0
407	-1;2418;3285;6605	4	0
408	-1;102;2418;3285;6605	5	0
409	-1;102;3285;4850;6605	5	0
410	-1;102;3285;6605	4	0
411	-1;102;5704;6605	4	0
412	-1;102;5704;5790;6605	5	0
413	-1;102;2927;5790;6605	5	0
414	-1;2927;5790;6605;6732	5	0
415	-1;5228;5790;6605;6732	5	0
416	-1;550;5228;5790;6605;6732	6	0
417	-1;550;5228;5790;5911;6605;6732	7	0
418	-1;550;1999;5228;5790;5911;6605;6732	8	0
419	-1;550;1999;5228;5790;5911;6605;6732;5228 5790	9	0
420	-1;550;5228;5790;5911;6605;6732;5228 5790	8	0
421	-1;550;5228;5560;5790;5911;6605;6732;5228 5790	9	0
422	-1;550;5228;5790;5911;6605;6732;5228 5790	8	0
