MODEL	INTERCEPT	SE	COL0	SE	COL1	SE	COL2	SE	COL3	SE
51	0.0322191	0.00683169	-0.0431195	0.0250476	-0.0456892	0.0409066	-0.0202807	0.0280986	0.316223	0.0414783
52	0.028774	0.00683169	-0.00379822	0.0250476	-0.106978	0.0409066	0.00532338	0.0280986	0.335134	0.0414783
53	0.0330258	0.00683169	0.0232719	0.0250476	-0.177143	0.0409066	-0.00436992	0.0280986	0.337697	0.0414783
54	0.035808	0.00683169	-0.0603807	0.0250476	-0.158343	0.0409066	-0.0325639	0.0280986	0.338423	0.0414783
55	0.0227362	0.00683169	-0.022988	0.0250476	-0.130381	0.0409066	0.0121976	0.0280986	0.363014	0.0414783
56	0.0212059	0.0166636	-0.0253316	0.0657389	-0.188426	0.104473	0.051733	0.0747188	0.208849	0.103866
57	0.0121632	0.0166636	0.129555	0.0657389	-0.0890449	0.104473	-0.0697101	0.0747188	0.216249	0.103866
58	-0.00674622	0.0166636	0.107167	0.0657389	0.113317	0.104473	0.0644389	0.0747188	0.314935	0.103866
59	-0.000686803	0.0166636	0.128326	0.0657389	-0.0168787	0.104473	0.0757665	0.0747188	0.263689	0.103866
60	0.0358324	0.0166636	0.0673125	0.0657389	-0.055494	0.104473	-0.0484558	0.0747188	0.090915	0.103866
61	0.0160572	0.0166636	0.0402651	0.0657389	-0.0265903	0.104473	0.0137522	0.0747188	0.342062	0.103866
62	0.0255905	0.0166636	0.0620091	0.0657389	-0.187165	0.104473	0.0239455	0.0747188	0.224215	0.103866
63	0.0175692	0.0142745	-0.0224054	0.0465078	0.026242	0.0866304	0.125294	0.0630615	0.139811	0.0891845
64	0.0270703	0.00853955	-0.0834778	0.0249126	-0.155793	0.0527557	-0.0398701	0.0365942	0.271303	0.0504007
65	0.028012	0.00853955	-0.0694117	0.0249126	-0.138148	0.0527557	-0.0373887	0.0365942	0.337084	0.0504007
66	0.0156759	0.00853955	-0.0513748	0.0249126	-0.159506	0.0527557	-0.0197839	0.0365942	0.178588	0.0504007
67	0.0178244	0.00853955	-0.0429216	0.0249126	-0.022502	0.0527557	0.0455971	0.0365942	0.345994	0.0504007
68	0.0437704	0.00853955	-0.0709133	0.0249126	-0.214063	0.0527557	0.0317235	0.0365942	0.36608	0.0504007
69	0.0194552	0.00853955	-0.10186	0.0249126	-0.130963	0.0527557	-0.0151397	0.0365942	0.252776	0.0504007
70	0.00948628	0.0131801	-0.0747012	0.0487707	0.0267658	0.0885386	-0.108286	0.0613657	0.0620439	0.0833319
71	0.0102143	0.0129167	-0.184455	0.075407	-0.0548056	0.0828361	-0.00255632	0.0549041	0.183969	0.0788267
72	0.0364452	0.00904462	-0.0436609	0.0317689	-0.15567	0.0587564	-0.0245805	0.0367607	0.243679	0.055681
73	0.00892769	0.00904462	-0.0213318	0.0317689	-0.0570776	0.0587564	0.0507637	0.0367607	0.355028	0.055681
74	0.0246913	0.00904462	-0.0325793	0.0317689	-0.0974786	0.0587564	0.0371962	0.0367607	0.195216	0.055681
75	0.0180196	0.00904462	-0.0192148	0.0317689	-0.162494	0.0587564	0.00827434	0.0367607	0.27041	0.055681
76	0.0123577	0.00904462	0.0078602	0.0317689	0.0411432	0.0587564	-0.018363	0.0367607	0.233698	0.055681
77	0.0315456	0.00787979	-0.016562	0.0272476	-0.175564	0.0553569	0.00333886	0.0346844	0.286951	0.0472041
78	0.0180103	0.00787979	-0.028995	0.0272476	-0.170732	0.0553569	-0.01742	0.0346844	0.251438	0.0472041
79	0.0222176	0.00787979	-0.0636685	0.0272476	-0.153073	0.0553569	-0.0168272	0.0346844	0.280509	0.0472041
80	0.0105886	0.00893885	0.0344563	0.0315478	-0.0736675	0.0624272	0.0131366	0.0401015	0.226987	0.0536973
81	0.0270844	0.00775034	-0.0815389	0.0477029	-0.075873	0.0523288	0.0298977	0.0337168	0.216838	0.0492325
82	-0.00666719	0.00775034	-0.0358529	0.0477029	-0.0992105	0.0523288	0.0521359	0.0337168	0.299569	0.0492325
83	0.0120726	0.00775034	-0.122272	0.0477029	-0.0365848	0.0523288	-0.0284436	0.0337168	0.182225	0.0492325
84	0.0150368	0.00775034	-0.113498	0.0477029	-0.115182	0.0523288	0.0669913	0.0337168	0.307224	0.0492325
85	-0.0204418	0.0253442	2.59801	1.07975	-0.0634067	0.059739	-0.199844	0.081584	0.998083	0.547766
86	0.00513659	0.00588292	0.139686	0.213376	-0.021373	0.0369645	0.0578023	0.0248519	0.25517	0.119163
87	0.00714358	0.00588292	-0.105777	0.213376	-0.15745	0.0369645	0.0537308	0.0248519	0.220412	0.119163
88	0.0112248	0.0056714	-0.132515	0.0257704	-0.0662702	0.0361572	0.0370353	0.0213588	0.206971	0.0410721
89	-0.0020509	0.00899284	0.0120596	0.0541857	-0.0308467	0.0685119	0.0066811	0.0397047	0.212891	0.0852475
90	0.00810725	0.00899284	-0.0505466	0.0541857	0.0102787	0.0685119	-0.0458747	0.0397047	0.221151	0.0852475
91	0.00358232	0.00899284	0.0931329	0.0541857	-0.0211919	0.0685119	0.00518632	0.0397047	0.243445	0.0852475
92	-0.00740966	0.00899284	0.0353613	0.0541857	-0.106821	0.0685119	-0.00782258	0.0397047	0.22523	0.0852475
93	-0.00790233	0.00899284	-0.072844	0.0541857	0.0557363	0.0685119	0.0145181	0.0397047	0.148041	0.0852475
94	-0.0152162	0.00899284	-0.0711668	0.0541857	-0.072525	0.0685119	-0.0193614	0.0397047	0.199513	0.0852475
95	0.00299807	0.00899284	-0.0811985	0.0541857	-0.0381905	0.0685119	-0.0394164	0.0397047	0.109142	0.0852475
96	0.0072059	0.00899284	-0.12968	0.0541857	0.0427362	0.0685119	-0.0281062	0.0397047	0.164644	0.0852475
97	-0.00864003	0.00959306	-0.122993	0.0612517	-0.162773	0.0745803	-0.0293701	0.0440658	0.169861	0.0939546
98	-0.00877406	0.00959306	-0.0711936	0.0612517	0.0290221	0.0745803	0.0477023	0.0440658	0.151448	0.0939546
99	-0.0113405	0.00959306	-0.0307705	0.0612517	0.0667999	0.0745803	0.083969	0.0440658	0.2407	0.0939546
100	-0.0142443	0.00959306	0.0525898	0.0612517	0.0409914	0.0745803	0.1123	0.0440658	0.0668081	0.0939546
