MODEL	MAINEFFS	MLE_BETA	SE	Z_MEAN	A_MEAN	PRIOR_BETA	SE	ADD_PROB
17	4822	0	0	0	0	0	0	0.5
17	341 4613	0	0	0	0	0	0	0.5
17	6513	0	0	0	0	0	0	0.5
17	1187	0	0	0	0	0	0	0.5
17	4613	0	0	0	0	0	0	0.5
17	341	0	0	0	0	0	0	0.5
18	-1	0	0	0	0	0	0	0
18	4822	0	0	0	0	0	0	0.5
18	341 4613	0	0	0	0	0	0	0.5
18	6513	0	0	0	0	0	0	0.5
18	1187	0	0	0	0	0	0	0.5
18	4613	0	0	0	0	0	0	0.5
18	341	0	0	0	0	0	0	0.5
18	495	0	0	0	0	0	0	0.5
19	-1	0	0	0	0	0	0	0
19	4822	0	0	0	0	0	0	0.5
19	341 4613	0	0	0	0	0	0	0.5
19	2764	0	0	0	0	0	0	0.5
19	1187	0	0	0	0	0	0	0.5
19	4613	0	0	0	0	0	0	0.5
19	341	0	0	0	0	0	0	0.5
19	495	0	0	0	0	0	0	0.5
20	-1	0	0	0	0	0	0	0
20	3622	0	0	0	0	0	0	0.5
20	341 4613	0	0	0	0	0	0	0.5
20	2764	0	0	0	0	0	0	0.5
20	1187	0	0	0	0	0	0	0.5
20	4613	0	0	0	0	0	0	0.5
20	341	0	0	0	0	0	0	0.5
20	495	0	0	0	0	0	0	0.5
21	-1	0	0	0	0	0	0	0
21	3622	0	0	0	0	0	0	0.5
21	341 4613	0	0	0	0	0	0	0.5
21	2764	0	0	0	0	0	0	0.5
21	1187	0	0	0	0	0	0	0.5
21	4613	0	0	0	0	0	0	0.5
21	341	0	0	0	0	0	0	0.5
21	2902	0	0	0	0	0	0	0.5
22	-1	0	0	0	0	0	0	0
22	3622	0	0	0	0	0	0	0.5
22	341 4613	0	0	0	0	0	0	0.5
22	2764	0	0	0	0	0	0	0.5
22	1187	0	0	0	0	0	0	0.5
22	4613	0	0	0	0	0	0	0.5
22	341	0	0	0	0	0	0	0.5
22	2902	0	0	0	0	0	0	0.5
23	-1	0	0	0	0	0	0	0
23	3622	0	0	0	0	0	0	0.5
23	341 4613	0	0	0	0	0	0	0.5
23	2764	0	0	0	0	0	0	0.5
23	1187	0	0	0	0	0	0	0.5
23	4613	0	0	0	0	0	0	0.5
23	341	0	0	0	0	0	0	0.5
23	2902	0	0	0	0	0	0	0.5
24	-1	0	0	0	0	0	0	0
24	3622	0	0	0	0	0	0	0.5
24	341 4613	0	0	0	0	0	0	0.5
24	2764	0	0	0	0	0	0	0.5
24	1187	0	0	0	0	0	0	0.5
24	4613	0	0	0	0	0	0	0.5
24	341	0	0	0	0	0	0	0.5
24	2902	0	0	0	0	0	0	0.5
25	-1	0	0	0	0	0	0	0
25	3622	0	0	0	0	0	0	0.5
25	341 4613	0	0	0	0	0	0	0.5
25	2764	0	0	0	0	0	0	0.5
25	1187	0	0	0	0	0	0	0.5
25	4613	0	0	0	0	0	0	0.5
25	341	0	0	0	0	0	0	0.5
25	3989	0	0	0	0	0	0	0.5
26	-1	0	0	0	0	0	0	0
26	3622	0	0	0	0	0	0	0.5
26	341 4613	0	0	0	0	0	0	0.5
26	2764	0	0	0	0	0	0	0.5
26	1187	0	0	0	0	0	0	0.5
26	4613	0	0	0	0	0	0	0.5
26	341	0	0	0	0	0	0	0.5
26	3989	0	0	0	0	0	0	0.5
27	-1	0	0	0	0	0	0	0
27	3622	0	0	0	0	0	0	0.5
27	341 4613	0	0	0	0	0	0	0.5
27	2764	0	0	0	0	0	0	0.5
27	1187	0	0	0	0	0	0	0.5
27	4613	0	0	0	0	0	0	0.5
27	341	0	0	0	0	0	0	0.5
27	3989	0	0	0	0	0	0	0.5
27	2464	0	0	0	0	0	0	0.5
28	-1	0	0	0	0	0	0	0
28	3622	0	0	0	0	0	0	0.5
28	341 4613	0	0	0	0	0	0	0.5
28	2764	0	0	0	0	0	0	0.5
28	1187	0	0	0	0	0	0	0.5
28	4613	0	0	0	0	0	0	0.5
28	341	0	0	0	0	0	0	0.5
28	181	0	0	0	0	0	0	0.5
28	2464	0	0	0	0	0	0	0.5
29	-1	0	0	0	0	0	0	0
29	6063	0	0	0	0	0	0	0.5
29	341 4613	0	0	0	0	0	0	0.5
29	2764	0	0	0	0	0	0	0.5
29	1187	0	0	0	0	0	0	0.5
29	4613	0	0	0	0	0	0	0.5
29	341	0	0	0	0	0	0	0.5
29	181	0	0	0	0	0	0	0.5
29	2464	0	0	0	0	0	0	0.5
30	-1	0	0	0	0	0	0	0
30	6063	0	0	0	0	0	0	0.5
30	341 4613	0	0	0	0	0	0	0.5
30	2764	0	0	0	0	0	0	0.5
30	2464	0	0	0	0	0	0	0.5
30	4613	0	0	0	0	0	0	0.5
30	341	0	0	0	0	0	0	0.5
30	181	0	0	0	0	0	0	0.5
31	-1	0	0	0	0	0	0	0
31	6063	0	0	0	0	0	0	0.5
31	2163	0	0	0	0	0	0	0.5
31	2764	0	0	0	0	0	0	0.5
31	2464	0	0	0	0	0	0	0.5
31	4613	0	0	0	0	0	0	0.5
31	341	0	0	0	0	0	0	0.5
31	181	0	0	0	0	0	0	0.5
32	-1	0	0	0	0	0	0	0
32	6063	0	0	0	0	0	0	0.5
32	2163	0	0	0	0	0	0	0.5
32	2764	0	0	0	0	0	0	0.5
32	2464	0	0	0	0	0	0	0.5
32	4613	0	0	0	0	0	0	0.5
32	341	0	0	0	0	0	0	0.5
32	181	0	0	0	0	0	0	0.5
32	181 6063	0	0	0	0	0	0	0.5
33	-1	0	0	0	0	0	0	0
33	6063	0	0	0	0	0	0	0.5
33	2163	0	0	0	0	0	0	0.5
33	2764	0	0	0	0	0	0	0.5
33	2464	0	0	0	0	0	0	0.5
33	4613	0	0	0	0	0	0	0.5
33	341	0	0	0	0	0	0	0.5
33	181	0	0	0	0	0	0	0.5
33	181 6063	0	0	0	0	0	0	0.5
33	398	0	0	0	0	0	0	0.5
34	-1	0	0	0	0	0	0	0
34	6063	0	0	0	0	0	0	0.5
34	2860	0	0	0	0	0	0	0.5
34	2764	0	0	0	0	0	0	0.5
34	2464	0	0	0	0	0	0	0.5
34	4613	0	0	0	0	0	0	0.5
34	341	0	0	0	0	0	0	0.5
34	181	0	0	0	0	0	0	0.5
34	181 6063	0	0	0	0	0	0	0.5
34	398	0	0	0	0	0	0	0.5
35	-1	0	0	0	0	0	0	0
35	6063	0	0	0	0	0	0	0.5
35	2860	0	0	0	0	0	0	0.5
35	2764	0	0	0	0	0	0	0.5
35	2464	0	0	0	0	0	0	0.5
35	4613	0	0	0	0	0	0	0.5
35	341	0	0	0	0	0	0	0.5
35	181	0	0	0	0	0	0	0.5
35	181 6063	0	0	0	0	0	0	0.5
35	398	0	0	0	0	0	0	0.5
35	4168	0	0	0	0	0	0	0.5
35	2764 4168	0	0	0	0	0	0	0.5
36	-1	0	0	0	0	0	0	0
36	6063	0	0	0	0	0	0	0.5
36	2860	0	0	0	0	0	0	0.5
36	2764	0	0	0	0	0	0	0.5
36	2464	0	0	0	0	0	0	0.5
36	4613	0	0	0	0	0	0	0.5
36	341	0	0	0	0	0	0	0.5
36	181	0	0	0	0	0	0	0.5
36	181 6063	0	0	0	0	0	0	0.5
36	398	0	0	0	0	0	0	0.5
36	4168	0	0	0	0	0	0	0.5
37	-1	0	0	0	0	0	0	0
37	6063	0	0	0	0	0	0	0.5
37	2860	0	0	0	0	0	0	0.5
37	2764	0	0	0	0	0	0	0.5
37	2464	0	0	0	0	0	0	0.5
37	4613	0	0	0	0	0	0	0.5
37	341	0	0	0	0	0	0	0.5
37	181	0	0	0	0	0	0	0.5
37	181 6063	0	0	0	0	0	0	0.5
37	398	0	0	0	0	0	0	0.5
37	1902	0	0	0	0	0	0	0.5
38	-1	0	0	0	0	0	0	0
38	6063	0	0	0	0	0	0	0.5
38	1974	0	0	0	0	0	0	0.5
38	2764	0	0	0	0	0	0	0.5
38	2464	0	0	0	0	0	0	0.5
38	4613	0	0	0	0	0	0	0.5
38	341	0	0	0	0	0	0	0.5
38	181	0	0	0	0	0	0	0.5
38	181 6063	0	0	0	0	0	0	0.5
38	398	0	0	0	0	0	0	0.5
38	1902	0	0	0	0	0	0	0.5
39	-1	0	0	0	0	0	0	0
39	6063	0	0	0	0	0	0	0.5
39	1974	0	0	0	0	0	0	0.5
39	2764	0	0	0	0	0	0	0.5
39	2464	0	0	0	0	0	0	0.5
39	4613	0	0	0	0	0	0	0.5
39	341	0	0	0	0	0	0	0.5
39	181	0	0	0	0	0	0	0.5
39	181 6063	0	0	0	0	0	0	0.5
39	398	0	0	0	0	0	0	0.5
39	5783	0	0	0	0	0	0	0.5
40	-1	0	0	0	0	0	0	0
40	6063	0	0	0	0	0	0	0.5
40	1974	0	0	0	0	0	0	0.5
40	2764	0	0	0	0	0	0	0.5
40	2464	0	0	0	0	0	0	0.5
40	4613	0	0	0	0	0	0	0.5
40	341	0	0	0	0	0	0	0.5
40	181	0	0	0	0	0	0	0.5
40	181 6063	0	0	0	0	0	0	0.5
40	2747	0	0	0	0	0	0	0.5
40	5783	0	0	0	0	0	0	0.5
41	-1	0	0	0	0	0	0	0
41	6063	0	0	0	0	0	0	0.5
41	1974	0	0	0	0	0	0	0.5
41	2764	0	0	0	0	0	0	0.5
41	2464	0	0	0	0	0	0	0.5
41	4613	0	0	0	0	0	0	0.5
41	341	0	0	0	0	0	0	0.5
41	181	0	0	0	0	0	0	0.5
41	181 6063	0	0	0	0	0	0	0.5
41	2747	0	0	0	0	0	0	0.5
41	5783	0	0	0	0	0	0	0.5
41	5477	0	0	0	0	0	0	0.5
42	-1	0	0	0	0	0	0	0
42	6063	0	0	0	0	0	0	0.5
42	3232	0	0	0	0	0	0	0.5
42	2764	0	0	0	0	0	0	0.5
42	2464	0	0	0	0	0	0	0.5
42	4613	0	0	0	0	0	0	0.5
42	341	0	0	0	0	0	0	0.5
42	181	0	0	0	0	0	0	0.5
42	181 6063	0	0	0	0	0	0	0.5
42	2747	0	0	0	0	0	0	0.5
42	5783	0	0	0	0	0	0	0.5
42	5477	0	0	0	0	0	0	0.5
43	-1	0	0	0	0	0	0	0
43	6063	0	0	0	0	0	0	0.5
43	3232	0	0	0	0	0	0	0.5
43	2764	0	0	0	0	0	0	0.5
43	2464	0	0	0	0	0	0	0.5
43	4613	0	0	0	0	0	0	0.5
43	341	0	0	0	0	0	0	0.5
43	181	0	0	0	0	0	0	0.5
43	181 6063	0	0	0	0	0	0	0.5
43	2747	0	0	0	0	0	0	0.5
43	5477	0	0	0	0	0	0	0.5
44	-1	0	0	0	0	0	0	0
44	6063	0	0	0	0	0	0	0.5
44	3232	0	0	0	0	0	0	0.5
44	2764	0	0	0	0	0	0	0.5
44	2542	0	0	0	0	0	0	0.5
44	4613	0	0	0	0	0	0	0.5
44	341	0	0	0	0	0	0	0.5
44	181	0	0	0	0	0	0	0.5
44	181 6063	0	0	0	0	0	0	0.5
44	2747	0	0	0	0	0	0	0.5
44	5477	0	0	0	0	0	0	0.5
45	-1	0	0	0	0	0	0	0
45	6063	0	0	0	0	0	0	0.5
45	3232	0	0	0	0	0	0	0.5
45	5477	0	0	0	0	0	0	0.5
45	2542	0	0	0	0	0	0	0.5
45	4613	0	0	0	0	0	0	0.5
45	341	0	0	0	0	0	0	0.5
45	181	0	0	0	0	0	0	0.5
45	181 6063	0	0	0	0	0	0	0.5
45	2747	0	0	0	0	0	0	0.5
46	-1	0	0	0	0	0	0	0
46	6063	0	0	0	0	0	0	0.5
46	3232	0	0	0	0	0	0	0.5
46	5477	0	0	0	0	0	0	0.5
46	3695	0	0	0	0	0	0	0.5
46	4613	0	0	0	0	0	0	0.5
46	341	0	0	0	0	0	0	0.5
46	181	0	0	0	0	0	0	0.5
46	181 6063	0	0	0	0	0	0	0.5
46	2747	0	0	0	0	0	0	0.5
47	-1	0	0	0	0	0	0	0
47	6063	0	0	0	0	0	0	0.5
47	3232	0	0	0	0	0	0	0.5
47	5477	0	0	0	0	0	0	0.5
47	3695	0	0	0	0	0	0	0.5
47	4613	0	0	0	0	0	0	0.5
47	341	0	0	0	0	0	0	0.5
47	181	0	0	0	0	0	0	0.5
47	181 6063	0	0	0	0	0	0	0.5
47	2747	0	0	0	0	0	0	0.5
47	3200	0	0	0	0	0	0	0.5
48	-1	0	0	0	0	0	0	0
48	6063	0	0	0	0	0	0	0.5
48	3232	0	0	0	0	0	0	0.5
48	5477	0	0	0	0	0	0	0.5
48	3695	0	0	0	0	0	0	0.5
48	3200	0	0	0	0	0	0	0.5
48	341	0	0	0	0	0	0	0.5
48	181	0	0	0	0	0	0	0.5
48	181 6063	0	0	0	0	0	0	0.5
48	2747	0	0	0	0	0	0	0.5
49	-1	0	0	0	0	0	0	0
49	6063	0	0	0	0	0	0	0.5
49	3232	0	0	0	0	0	0	0.5
49	5477	0	0	0	0	0	0	0.5
49	3695	0	0	0	0	0	0	0.5
49	3200	0	0	0	0	0	0	0.5
49	341	0	0	0	0	0	0	0.5
49	181	0	0	0	0	0	0	0.5
49	181 6063	0	0	0	0	0	0	0.5
49	2747	0	0	0	0	0	0	0.5
49	1440	0	0	0	0	0	0	0.5
50	-1	0	0	0	0	0	0	0
50	6063	0	0	0	0	0	0	0.5
50	1440	0	0	0	0	0	0	0.5
50	5477	0	0	0	0	0	0	0.5
50	3695	0	0	0	0	0	0	0.5
50	3200	0	0	0	0	0	0	0.5
50	341	0	0	0	0	0	0	0.5
50	181	0	0	0	0	0	0	0.5
50	181 6063	0	0	0	0	0	0	0.5
50	2747	0	0	0	0	0	0	0.5
51	-1	0	0	0	0	0	0	0
51	6063	0	0	0	0	0	0	0.5
51	1440	0	0	0	0	0	0	0.5
51	5477	0	0	0	0	0	0	0.5
51	3695	0	0	0	0	0	0	0.5
51	3200	0	0	0	0	0	0	0.5
51	341	0	0	0	0	0	0	0.5
51	181	0	0	0	0	0	0	0.5
51	181 6063	0	0	0	0	0	0	0.5
51	2747	0	0	0	0	0	0	0.5
51	2777	0	0	0	0	0	0	0.5
51	1440 2777	0	0	0	0	0	0	0.5
52	-1	0	0	0	0	0	0	0
52	6063	0	0	0	0	0	0	0.5
52	1440	0	0	0	0	0	0	0.5
52	5477	0	0	0	0	0	0	0.5
52	3695	0	0	0	0	0	0	0.5
52	3200	0	0	0	0	0	0	0.5
52	341	0	0	0	0	0	0	0.5
52	181	0	0	0	0	0	0	0.5
52	3575	0	0	0	0	0	0	0.5
52	2747	0	0	0	0	0	0	0.5
52	2777	0	0	0	0	0	0	0.5
52	1440 2777	0	0	0	0	0	0	0.5
53	-1	0	0	0	0	0	0	0
53	6063	0	0	0	0	0	0	0.5
53	1440	0	0	0	0	0	0	0.5
53	5477	0	0	0	0	0	0	0.5
53	3695	0	0	0	0	0	0	0.5
53	3200	0	0	0	0	0	0	0.5
53	341	0	0	0	0	0	0	0.5
53	4526	0	0	0	0	0	0	0.5
53	3575	0	0	0	0	0	0	0.5
53	2747	0	0	0	0	0	0	0.5
53	2777	0	0	0	0	0	0	0.5
53	1440 2777	0	0	0	0	0	0	0.5
54	-1	0	0	0	0	0	0	0
54	6063	0	0	0	0	0	0	0.5
54	1440	0	0	0	0	0	0	0.5
54	5036	0	0	0	0	0	0	0.5
54	3695	0	0	0	0	0	0	0.5
54	3200	0	0	0	0	0	0	0.5
54	341	0	0	0	0	0	0	0.5
54	4526	0	0	0	0	0	0	0.5
54	3575	0	0	0	0	0	0	0.5
54	2747	0	0	0	0	0	0	0.5
54	2777	0	0	0	0	0	0	0.5
54	1440 2777	0	0	0	0	0	0	0.5
55	-1	0	0	0	0	0	0	0
55	6063	0	0	0	0	0	0	0.5
55	1440	0	0	0	0	0	0	0.5
55	5036	0	0	0	0	0	0	0.5
55	3695	0	0	0	0	0	0	0.5
55	3200	0	0	0	0	0	0	0.5
55	341	0	0	0	0	0	0	0.5
55	4526	0	0	0	0	0	0	0.5
55	3575	0	0	0	0	0	0	0.5
55	2747	0	0	0	0	0	0	0.5
55	2777	0	0	0	0	0	0	0.5
55	1440 2777	0	0	0	0	0	0	0.5
55	1903	0	0	0	0	0	0	0.5
56	-1	0	0	0	0	0	0	0
56	6063	0	0	0	0	0	0	0.5
56	1440	0	0	0	0	0	0	0.5
56	5036	0	0	0	0	0	0	0.5
56	3695	0	0	0	0	0	0	0.5
56	3093	0	0	0	0	0	0	0.5
56	341	0	0	0	0	0	0	0.5
56	4526	0	0	0	0	0	0	0.5
56	3575	0	0	0	0	0	0	0.5
56	2747	0	0	0	0	0	0	0.5
56	2777	0	0	0	0	0	0	0.5
56	1440 2777	0	0	0	0	0	0	0.5
56	1903	0	0	0	0	0	0	0.5
57	-1	0	0	0	0	0	0	0
57	6063	0	0	0	0	0	0	0.5
57	1440	0	0	0	0	0	0	0.5
57	5036	0	0	0	0	0	0	0.5
57	3695	0	0	0	0	0	0	0.5
57	3093	0	0	0	0	0	0	0.5
57	341	0	0	0	0	0	0	0.5
57	7342	0	0	0	0	0	0	0.5
57	3575	0	0	0	0	0	0	0.5
57	2747	0	0	0	0	0	0	0.5
57	2777	0	0	0	0	0	0	0.5
57	1440 2777	0	0	0	0	0	0	0.5
57	1903	0	0	0	0	0	0	0.5
58	-1	0	0	0	0	0	0	0
58	6063	0	0	0	0	0	0	0.5
58	1440	0	0	0	0	0	0	0.5
58	5036	0	0	0	0	0	0	0.5
58	3695	0	0	0	0	0	0	0.5
58	3093	0	0	0	0	0	0	0.5
58	341	0	0	0	0	0	0	0.5
58	7342	0	0	0	0	0	0	0.5
58	3575	0	0	0	0	0	0	0.5
58	2747	0	0	0	0	0	0	0.5
58	2777	0	0	0	0	0	0	0.5
58	1440 2777	0	0	0	0	0	0	0.5
58	1903	0	0	0	0	0	0	0.5
58	5153	0	0	0	0	0	0	0.5
59	-1	0	0	0	0	0	0	0
59	5153	0	0	0	0	0	0	0.5
59	1440	0	0	0	0	0	0	0.5
59	5036	0	0	0	0	0	0	0.5
59	3695	0	0	0	0	0	0	0.5
59	3093	0	0	0	0	0	0	0.5
59	341	0	0	0	0	0	0	0.5
59	7342	0	0	0	0	0	0	0.5
59	3575	0	0	0	0	0	0	0.5
59	2747	0	0	0	0	0	0	0.5
59	2777	0	0	0	0	0	0	0.5
59	1440 2777	0	0	0	0	0	0	0.5
59	1903	0	0	0	0	0	0	0.5
60	-1	0	0	0	0	0	0	0
60	5153	0	0	0	0	0	0	0.5
60	1440	0	0	0	0	0	0	0.5
60	5036	0	0	0	0	0	0	0.5
60	3695	0	0	0	0	0	0	0.5
60	3093	0	0	0	0	0	0	0.5
60	341	0	0	0	0	0	0	0.5
60	7342	0	0	0	0	0	0	0.5
60	1903	0	0	0	0	0	0	0.5
60	2747	0	0	0	0	0	0	0.5
60	2777	0	0	0	0	0	0	0.5
60	1440 2777	0	0	0	0	0	0	0.5
61	-1	0	0	0	0	0	0	0
61	5153	0	0	0	0	0	0	0.5
61	1440	0	0	0	0	0	0	0.5
61	5036	0	0	0	0	0	0	0.5
61	3695	0	0	0	0	0	0	0.5
61	1440 2777	0	0	0	0	0	0	0.5
61	341	0	0	0	0	0	0	0.5
61	7342	0	0	0	0	0	0	0.5
61	1903	0	0	0	0	0	0	0.5
61	2747	0	0	0	0	0	0	0.5
61	2777	0	0	0	0	0	0	0.5
62	-1	0	0	0	0	0	0	0
62	5153	0	0	0	0	0	0	0.5
62	1440	0	0	0	0	0	0	0.5
62	5036	0	0	0	0	0	0	0.5
62	3695	0	0	0	0	0	0	0.5
62	6014	0	0	0	0	0	0	0.5
62	341	0	0	0	0	0	0	0.5
62	7342	0	0	0	0	0	0	0.5
62	1903	0	0	0	0	0	0	0.5
62	2747	0	0	0	0	0	0	0.5
62	2777	0	0	0	0	0	0	0.5
63	-1	0	0	0	0	0	0	0
63	5153	0	0	0	0	0	0	0.5
63	1440	0	0	0	0	0	0	0.5
63	2777	0	0	0	0	0	0	0.5
63	3695	0	0	0	0	0	0	0.5
63	6014	0	0	0	0	0	0	0.5
63	341	0	0	0	0	0	0	0.5
63	7342	0	0	0	0	0	0	0.5
63	1903	0	0	0	0	0	0	0.5
63	2747	0	0	0	0	0	0	0.5
64	-1	0	0	0	0	0	0	0
64	5153	0	0	0	0	0	0	0.5
64	1440	0	0	0	0	0	0	0.5
64	2777	0	0	0	0	0	0	0.5
64	3695	0	0	0	0	0	0	0.5
64	6014	0	0	0	0	0	0	0.5
64	341	0	0	0	0	0	0	0.5
64	7342	0	0	0	0	0	0	0.5
64	2747	0	0	0	0	0	0	0.5
65	-1	0	0	0	0	0	0	0
65	5153	0	0	0	0	0	0	0.5
65	1440	0	0	0	0	0	0	0.5
65	2777	0	0	0	0	0	0	0.5
65	3695	0	0	0	0	0	0	0.5
65	6014	0	0	0	0	0	0	0.5
65	341	0	0	0	0	0	0	0.5
65	7342	0	0	0	0	0	0	0.5
65	2747	0	0	0	0	0	0	0.5
65	5013	0	0	0	0	0	0	0.5
66	-1	0	0	0	0	0	0	0
66	5153	0	0	0	0	0	0	0.5
66	609	0	0	0	0	0	0	0.5
66	2777	0	0	0	0	0	0	0.5
66	3695	0	0	0	0	0	0	0.5
66	6014	0	0	0	0	0	0	0.5
66	341	0	0	0	0	0	0	0.5
66	7342	0	0	0	0	0	0	0.5
66	2747	0	0	0	0	0	0	0.5
66	5013	0	0	0	0	0	0	0.5
67	-1	0	0	0	0	0	0	0
67	5153	0	0	0	0	0	0	0.5
67	609	0	0	0	0	0	0	0.5
67	2777	0	0	0	0	0	0	0.5
67	3695	0	0	0	0	0	0	0.5
67	6014	0	0	0	0	0	0	0.5
67	341	0	0	0	0	0	0	0.5
67	7342	0	0	0	0	0	0	0.5
67	5013	0	0	0	0	0	0	0.5
68	-1	0	0	0	0	0	0	0
68	4517	0	0	0	0	0	0	0.5
68	609	0	0	0	0	0	0	0.5
68	2777	0	0	0	0	0	0	0.5
68	3695	0	0	0	0	0	0	0.5
68	6014	0	0	0	0	0	0	0.5
68	341	0	0	0	0	0	0	0.5
68	7342	0	0	0	0	0	0	0.5
68	5013	0	0	0	0	0	0	0.5
69	-1	0	0	0	0	0	0	0
69	4517	0	0	0	0	0	0	0.5
69	609	0	0	0	0	0	0	0.5
69	2777	0	0	0	0	0	0	0.5
69	3695	0	0	0	0	0	0	0.5
69	6014	0	0	0	0	0	0	0.5
69	341	0	0	0	0	0	0	0.5
69	7342	0	0	0	0	0	0	0.5
69	5013	0	0	0	0	0	0	0.5
69	6722	0	0	0	0	0	0	0.5
69	6722 7342	0	0	0	0	0	0	0.5
70	-1	0	0	0	0	0	0	0
70	4517	0	0	0	0	0	0	0.5
70	609	0	0	0	0	0	0	0.5
70	2777	0	0	0	0	0	0	0.5
70	3695	0	0	0	0	0	0	0.5
70	6014	0	0	0	0	0	0	0.5
70	341	0	0	0	0	0	0	0.5
70	7342	0	0	0	0	0	0	0.5
70	5013	0	0	0	0	0	0	0.5
70	6722	0	0	0	0	0	0	0.5
70	6722 7342	0	0	0	0	0	0	0.5
70	5688	0	0	0	0	0	0	0.5
71	-1	0	0	0	0	0	0	0
71	5688	0	0	0	0	0	0	0.5
71	609	0	0	0	0	0	0	0.5
71	2777	0	0	0	0	0	0	0.5
71	3695	0	0	0	0	0	0	0.5
71	6014	0	0	0	0	0	0	0.5
71	341	0	0	0	0	0	0	0.5
71	7342	0	0	0	0	0	0	0.5
71	5013	0	0	0	0	0	0	0.5
71	6722	0	0	0	0	0	0	0.5
71	6722 7342	0	0	0	0	0	0	0.5
72	-1	0	0	0	0	0	0	0
72	5688	0	0	0	0	0	0	0.5
72	609	0	0	0	0	0	0	0.5
72	2777	0	0	0	0	0	0	0.5
72	6722 7342	0	0	0	0	0	0	0.5
72	6014	0	0	0	0	0	0	0.5
72	341	0	0	0	0	0	0	0.5
72	7342	0	0	0	0	0	0	0.5
72	5013	0	0	0	0	0	0	0.5
72	6722	0	0	0	0	0	0	0.5
73	-1	0	0	0	0	0	0	0
73	5688	0	0	0	0	0	0	0.5
73	609	0	0	0	0	0	0	0.5
73	4419	0	0	0	0	0	0	0.5
