MODEL	VAR_ID	POST_BETA	POST_SE	MAINEFFS
25	11	0	0	1187
25	19	0	0	2764
25	20	0	0	3622
25	24	0	0	3989
25	13	0	0	4613
25	15	0	0	341 4613
26	0	0	0	-1
26	14	0	0	341
26	11	0	0	1187
26	19	0	0	2764
26	20	0	0	3622
26	24	0	0	3989
26	13	0	0	4613
26	15	0	0	341 4613
27	0	0	0	-1
27	14	0	0	341
27	11	0	0	1187
27	26	0	0	2464
27	19	0	0	2764
27	20	0	0	3622
27	24	0	0	3989
27	13	0	0	4613
27	15	0	0	341 4613
28	0	0	0	-1
28	27	0	0	181
28	14	0	0	341
28	11	0	0	1187
28	26	0	0	2464
28	19	0	0	2764
28	20	0	0	3622
28	13	0	0	4613
28	15	0	0	341 4613
29	0	0	0	-1
29	27	0	0	181
29	14	0	0	341
29	11	0	0	1187
29	26	0	0	2464
29	19	0	0	2764
29	13	0	0	4613
29	28	0	0	6063
29	15	0	0	341 4613
30	0	0	0	-1
30	27	0	0	181
30	14	0	0	341
30	26	0	0	2464
30	19	0	0	2764
30	13	0	0	4613
30	28	0	0	6063
30	15	0	0	341 4613
31	0	0	0	-1
31	27	0	0	181
31	14	0	0	341
31	29	0	0	2163
31	26	0	0	2464
31	19	0	0	2764
31	13	0	0	4613
31	28	0	0	6063
32	0	0	0	-1
32	27	0	0	181
32	14	0	0	341
32	29	0	0	2163
32	26	0	0	2464
32	19	0	0	2764
32	13	0	0	4613
32	28	0	0	6063
32	30	0	0	181 6063
33	0	0	0	-1
33	27	0	0	181
33	14	0	0	341
33	31	0	0	398
33	29	0	0	2163
33	26	0	0	2464
33	19	0	0	2764
33	13	0	0	4613
33	28	0	0	6063
33	30	0	0	181 6063
34	0	0	0	-1
34	27	0	0	181
34	14	0	0	341
34	31	0	0	398
34	26	0	0	2464
34	19	0	0	2764
34	32	0	0	2860
34	13	0	0	4613
34	28	0	0	6063
34	30	0	0	181 6063
35	0	0	0	-1
35	27	0	0	181
35	14	0	0	341
35	31	0	0	398
35	26	0	0	2464
35	19	0	0	2764
35	32	0	0	2860
35	33	0	0	4168
35	13	0	0	4613
35	28	0	0	6063
35	30	0	0	181 6063
35	34	0	0	2764 4168
36	0	0	0	-1
36	27	0	0	181
36	14	0	0	341
36	31	0	0	398
36	26	0	0	2464
36	19	0	0	2764
36	32	0	0	2860
36	33	0	0	4168
36	13	0	0	4613
36	28	0	0	6063
36	30	0	0	181 6063
37	0	0	0	-1
37	27	0	0	181
37	14	0	0	341
37	31	0	0	398
37	35	0	0	1902
37	26	0	0	2464
37	19	0	0	2764
37	32	0	0	2860
37	13	0	0	4613
37	28	0	0	6063
37	30	0	0	181 6063
38	0	0	0	-1
38	27	0	0	181
38	14	0	0	341
38	31	0	0	398
38	35	0	0	1902
38	36	0	0	1974
38	26	0	0	2464
38	19	0	0	2764
38	13	0	0	4613
38	28	0	0	6063
38	30	0	0	181 6063
39	0	0	0	-1
39	27	0	0	181
39	14	0	0	341
39	31	0	0	398
39	36	0	0	1974
39	26	0	0	2464
39	19	0	0	2764
39	13	0	0	4613
39	37	0	0	5783
39	28	0	0	6063
39	30	0	0	181 6063
40	0	0	0	-1
40	27	0	0	181
40	14	0	0	341
40	36	0	0	1974
40	26	0	0	2464
40	38	0	0	2747
40	19	0	0	2764
40	13	0	0	4613
40	37	0	0	5783
40	28	0	0	6063
40	30	0	0	181 6063
41	0	0	0	-1
41	27	0	0	181
41	14	0	0	341
41	36	0	0	1974
41	26	0	0	2464
41	38	0	0	2747
41	19	0	0	2764
41	13	0	0	4613
41	39	0	0	5477
41	37	0	0	5783
41	28	0	0	6063
41	30	0	0	181 6063
42	0	0	0	-1
42	27	0	0	181
42	14	0	0	341
42	26	0	0	2464
42	38	0	0	2747
42	19	0	0	2764
42	40	0	0	3232
42	13	0	0	4613
42	39	0	0	5477
42	37	0	0	5783
42	28	0	0	6063
42	30	0	0	181 6063
43	0	0	0	-1
43	27	0	0	181
43	14	0	0	341
43	26	0	0	2464
43	38	0	0	2747
43	19	0	0	2764
43	40	0	0	3232
43	13	0	0	4613
43	39	0	0	5477
43	28	0	0	6063
43	30	0	0	181 6063
44	0	0	0	-1
44	27	0	0	181
44	14	0	0	341
44	41	0	0	2542
44	38	0	0	2747
44	19	0	0	2764
44	40	0	0	3232
44	13	0	0	4613
44	39	0	0	5477
44	28	0	0	6063
44	30	0	0	181 6063
45	0	0	0	-1
45	27	0	0	181
45	14	0	0	341
45	41	0	0	2542
45	38	0	0	2747
45	40	0	0	3232
45	13	0	0	4613
45	39	0	0	5477
45	28	0	0	6063
45	30	0	0	181 6063
46	0	0	0	-1
46	27	0	0	181
46	14	0	0	341
46	38	0	0	2747
46	40	0	0	3232
46	42	0	0	3695
46	13	0	0	4613
46	39	0	0	5477
46	28	0	0	6063
46	30	0	0	181 6063
47	0	0	0	-1
47	27	0	0	181
47	14	0	0	341
47	38	0	0	2747
47	43	0	0	3200
47	40	0	0	3232
47	42	0	0	3695
47	13	0	0	4613
47	39	0	0	5477
47	28	0	0	6063
47	30	0	0	181 6063
48	0	0	0	-1
48	27	0	0	181
48	14	0	0	341
48	38	0	0	2747
48	43	0	0	3200
48	40	0	0	3232
48	42	0	0	3695
48	39	0	0	5477
48	28	0	0	6063
48	30	0	0	181 6063
49	0	0	0	-1
49	27	0	0	181
49	14	0	0	341
49	44	0	0	1440
49	38	0	0	2747
49	43	0	0	3200
49	40	0	0	3232
49	42	0	0	3695
49	39	0	0	5477
49	28	0	0	6063
49	30	0	0	181 6063
50	0	0	0	-1
50	27	0	0	181
50	14	0	0	341
50	44	0	0	1440
50	38	0	0	2747
50	43	0	0	3200
50	42	0	0	3695
50	39	0	0	5477
50	28	0	0	6063
50	30	0	0	181 6063
51	0	0	0	-1
51	27	0	0	181
51	14	0	0	341
51	44	0	0	1440
51	38	0	0	2747
51	45	0	0	2777
51	43	0	0	3200
51	42	0	0	3695
51	39	0	0	5477
51	28	0	0	6063
51	30	0	0	181 6063
51	46	0	0	1440 2777
52	0	0	0	-1
52	27	0	0	181
52	14	0	0	341
52	44	0	0	1440
52	38	0	0	2747
52	45	0	0	2777
52	43	0	0	3200
52	47	0	0	3575
52	42	0	0	3695
52	39	0	0	5477
52	28	0	0	6063
52	46	0	0	1440 2777
53	0	0	0	-1
53	14	0	0	341
53	44	0	0	1440
53	38	0	0	2747
53	45	0	0	2777
53	43	0	0	3200
53	47	0	0	3575
53	42	0	0	3695
53	48	0	0	4526
53	39	0	0	5477
53	28	0	0	6063
53	46	0	0	1440 2777
54	0	0	0	-1
54	14	0	0	341
54	44	0	0	1440
54	38	0	0	2747
54	45	0	0	2777
54	43	0	0	3200
54	47	0	0	3575
54	42	0	0	3695
54	48	0	0	4526
54	49	0	0	5036
54	28	0	0	6063
54	46	0	0	1440 2777
55	0	0	0	-1
55	14	0	0	341
55	44	0	0	1440
55	50	0	0	1903
55	38	0	0	2747
55	45	0	0	2777
55	43	0	0	3200
55	47	0	0	3575
55	42	0	0	3695
55	48	0	0	4526
55	49	0	0	5036
55	28	0	0	6063
55	46	0	0	1440 2777
56	0	0	0	-1
56	14	0	0	341
56	44	0	0	1440
56	50	0	0	1903
56	38	0	0	2747
56	45	0	0	2777
56	51	0	0	3093
56	47	0	0	3575
56	42	0	0	3695
56	48	0	0	4526
56	49	0	0	5036
56	28	0	0	6063
56	46	0	0	1440 2777
57	0	0	0	-1
57	14	0	0	341
57	44	0	0	1440
57	50	0	0	1903
57	38	0	0	2747
57	45	0	0	2777
57	51	0	0	3093
57	47	0	0	3575
57	42	0	0	3695
57	49	0	0	5036
57	28	0	0	6063
57	52	0	0	7342
57	46	0	0	1440 2777
58	0	0	0	-1
58	14	0	0	341
58	44	0	0	1440
58	50	0	0	1903
58	38	0	0	2747
58	45	0	0	2777
58	51	0	0	3093
58	47	0	0	3575
58	42	0	0	3695
58	49	0	0	5036
58	53	0	0	5153
58	28	0	0	6063
58	52	0	0	7342
58	46	0	0	1440 2777
59	0	0	0	-1
59	14	0	0	341
59	44	0	0	1440
59	50	0	0	1903
59	38	0	0	2747
59	45	0	0	2777
59	51	0	0	3093
59	47	0	0	3575
59	42	0	0	3695
59	49	0	0	5036
59	53	0	0	5153
59	52	0	0	7342
59	46	0	0	1440 2777
60	0	0	0	-1
60	14	0	0	341
60	44	0	0	1440
60	50	0	0	1903
60	38	0	0	2747
60	45	0	0	2777
60	51	0	0	3093
60	42	0	0	3695
60	49	0	0	5036
60	53	0	0	5153
60	52	0	0	7342
60	46	0	0	1440 2777
61	0	0	0	-1
61	14	0	0	341
61	44	0	0	1440
61	50	0	0	1903
61	38	0	0	2747
61	45	0	0	2777
61	42	0	0	3695
61	49	0	0	5036
61	53	0	0	5153
61	52	0	0	7342
61	46	0	0	1440 2777
62	0	0	0	-1
62	14	0	0	341
62	44	0	0	1440
62	50	0	0	1903
62	38	0	0	2747
62	45	0	0	2777
62	42	0	0	3695
62	49	0	0	5036
62	53	0	0	5153
62	54	0	0	6014
62	52	0	0	7342
63	0	0	0	-1
63	14	0	0	341
63	44	0	0	1440
63	50	0	0	1903
63	38	0	0	2747
63	45	0	0	2777
63	42	0	0	3695
63	53	0	0	5153
63	54	0	0	6014
63	52	0	0	7342
64	0	0	0	-1
64	14	0	0	341
64	44	0	0	1440
64	38	0	0	2747
64	45	0	0	2777
64	42	0	0	3695
64	53	0	0	5153
64	54	0	0	6014
64	52	0	0	7342
65	0	0	0	-1
65	14	0	0	341
65	44	0	0	1440
65	38	0	0	2747
65	45	0	0	2777
65	42	0	0	3695
65	55	0	0	5013
65	53	0	0	5153
65	54	0	0	6014
65	52	0	0	7342
66	0	0	0	-1
66	14	0	0	341
66	56	0	0	609
66	38	0	0	2747
66	45	0	0	2777
66	42	0	0	3695
66	55	0	0	5013
66	53	0	0	5153
66	54	0	0	6014
66	52	0	0	7342
67	0	0	0	-1
67	14	0	0	341
67	56	0	0	609
67	45	0	0	2777
67	42	0	0	3695
67	55	0	0	5013
67	53	0	0	5153
67	54	0	0	6014
67	52	0	0	7342
68	0	0	0	-1
68	14	0	0	341
68	56	0	0	609
68	45	0	0	2777
68	42	0	0	3695
68	57	0	0	4517
68	55	0	0	5013
68	54	0	0	6014
68	52	0	0	7342
69	0	0	0	-1
69	14	0	0	341
69	56	0	0	609
69	45	0	0	2777
69	42	0	0	3695
69	57	0	0	4517
69	55	0	0	5013
69	54	0	0	6014
69	58	0	0	6722
69	52	0	0	7342
69	59	0	0	6722 7342
70	0	0	0	-1
70	14	0	0	341
70	56	0	0	609
70	45	0	0	2777
70	42	0	0	3695
70	57	0	0	4517
70	55	0	0	5013
70	60	0	0	5688
70	54	0	0	6014
70	58	0	0	6722
70	52	0	0	7342
70	59	0	0	6722 7342
71	0	0	0	-1
71	14	0	0	341
71	56	0	0	609
71	45	0	0	2777
71	42	0	0	3695
71	55	0	0	5013
71	60	0	0	5688
71	54	0	0	6014
71	58	0	0	6722
71	52	0	0	7342
71	59	0	0	6722 7342
72	0	0	0	-1
72	14	0	0	341
72	56	0	0	609
72	45	0	0	2777
72	55	0	0	5013
72	60	0	0	5688
72	54	0	0	6014
72	58	0	0	6722
72	52	0	0	7342
72	59	0	0	6722 7342
73	0	0	0	-1
73	14	0	0	341
73	56	0	0	609
73	61	0	0	4419
73	55	0	0	5013
73	60	0	0	5688
73	54	0	0	6014
73	58	0	0	6722
73	52	0	0	7342
73	59	0	0	6722 7342
74	0	0	0	-1
74	56	0	0	609
74	61	0	0	4419
74	55	0	0	5013
74	60	0	0	5688
74	54	0	0	6014
74	62	0	0	6325
74	58	0	0	6722
74	52	0	0	7342
74	59	0	0	6722 7342
75	0	0	0	-1
75	56	0	0	609
75	61	0	0	4419
75	55	0	0	5013
75	60	0	0	5688
75	54	0	0	6014
75	62	0	0	6325
75	58	0	0	6722
75	52	0	0	7342
75	59	0	0	6722 7342
76	0	0	0	-1
76	56	0	0	609
76	55	0	0	5013
76	60	0	0	5688
76	54	0	0	6014
76	62	0	0	6325
76	58	0	0	6722
76	52	0	0	7342
76	59	0	0	6722 7342
77	0	0	0	-1
77	56	0	0	609
77	64	0	0	4275
77	55	0	0	5013
77	60	0	0	5688
77	54	0	0	6014
77	62	0	0	6325
77	58	0	0	6722
77	52	0	0	7342
78	0	0	0	-1
78	56	0	0	609
78	64	0	0	4275
78	55	0	0	5013
78	60	0	0	5688
78	54	0	0	6014
78	62	0	0	6325
78	58	0	0	6722
79	0	0	0	-1
79	56	0	0	609
79	64	0	0	4275
79	55	0	0	5013
79	60	0	0	5688
79	62	0	0	6325
79	58	0	0	6722
80	0	0	0	-1
80	56	0	0	609
80	65	0	0	812
80	64	0	0	4275
80	55	0	0	5013
80	60	0	0	5688
80	58	0	0	6722
81	0	0	0	-1
81	65	0	0	812
81	64	0	0	4275
81	55	0	0	5013
81	60	0	0	5688
81	58	0	0	6722
82	0	0	0	-1
82	65	0	0	812
82	64	0	0	4275
82	55	0	0	5013
82	60	0	0	5688
82	58	0	0	6722
83	0	0	0	-1
83	65	0	0	812
83	67	0	0	1456
83	64	0	0	4275
83	60	0	0	5688
83	58	0	0	6722
84	0	0	0	-1
84	65	0	0	812
84	67	0	0	1456
84	64	0	0	4275
84	60	0	0	5688
84	68	0	0	5786
84	58	0	0	6722
85	0	0	0	-1
85	65	0	0	812
85	67	0	0	1456
85	69	0	0	1732
85	64	0	0	4275
85	60	0	0	5688
85	68	0	0	5786
85	58	0	0	6722
86	0	0	0	-1
86	65	0	0	812
86	69	0	0	1732
86	70	0	0	4081
86	64	0	0	4275
86	60	0	0	5688
86	68	0	0	5786
86	58	0	0	6722
87	0	0	0	-1
87	65	0	0	812
87	70	0	0	4081
87	64	0	0	4275
87	60	0	0	5688
87	68	0	0	5786
87	58	0	0	6722
88	0	0	0	-1
88	65	0	0	812
88	70	0	0	4081
88	64	0	0	4275
88	60	0	0	5688
88	68	0	0	5786
88	58	0	0	6722
88	71	0	0	7243
89	0	0	0	-1
89	65	0	0	812
89	70	0	0	4081
89	64	0	0	4275
89	60	0	0	5688
89	68	0	0	5786
89	58	0	0	6722
89	72	0	0	7208
89	71	0	0	7243
90	0	0	0	-1
90	65	0	0	812
90	70	0	0	4081
90	64	0	0	4275
90	60	0	0	5688
90	68	0	0	5786
90	58	0	0	6722
90	72	0	0	7208
90	71	0	0	7243
91	0	0	0	-1
91	65	0	0	812
91	70	0	0	4081
91	64	0	0	4275
91	60	0	0	5688
91	58	0	0	6722
91	72	0	0	7208
91	71	0	0	7243
92	0	0	0	-1
92	65	0	0	812
92	70	0	0	4081
92	64	0	0	4275
92	60	0	0	5688
92	58	0	0	6722
92	74	0	0	6824
92	72	0	0	7208
92	71	0	0	7243
93	0	0	0	-1
93	65	0	0	812
93	70	0	0	4081
93	64	0	0	4275
93	75	0	0	5687
93	60	0	0	5688
93	58	0	0	6722
93	74	0	0	6824
93	72	0	0	7208
94	0	0	0	-1
94	65	0	0	812
94	76	0	0	2907
94	70	0	0	4081
94	64	0	0	4275
94	75	0	0	5687
94	60	0	0	5688
94	74	0	0	6824
94	72	0	0	7208
95	0	0	0	-1
95	65	0	0	812
95	77	0	0	2097
95	76	0	0	2907
95	70	0	0	4081
95	64	0	0	4275
95	75	0	0	5687
95	60	0	0	5688
95	74	0	0	6824
95	72	0	0	7208
96	0	0	0	-1
96	78	0	0	506
96	65	0	0	812
96	77	0	0	2097
96	76	0	0	2907
96	70	0	0	4081
96	64	0	0	4275
96	75	0	0	5687
96	60	0	0	5688
96	72	0	0	7208
97	0	0	0	-1
97	78	0	0	506
97	65	0	0	812
97	77	0	0	2097
97	76	0	0	2907
97	64	0	0	4275
97	75	0	0	5687
97	60	0	0	5688
97	72	0	0	7208
98	0	0	0	-1
98	78	0	0	506
98	65	0	0	812
98	77	0	0	2097
98	76	0	0	2907
98	64	0	0	4275
98	60	0	0	5688
98	72	0	0	7208
99	0	0	0	-1
99	78	0	0	506
99	65	0	0	812
99	77	0	0	2097
99	76	0	0	2907
99	64	0	0	4275
99	60	0	0	5688
99	72	0	0	7208
100	0	0	0	-1
100	78	0	0	506
100	65	0	0	812
100	77	0	0	2097
100	64	0	0	4275
100	60	0	0	5688
100	72	0	0	7208
101	0	0	0	-1
101	65	0	0	812
101	77	0	0	2097
101	64	0	0	4275
101	80	0	0	5431
101	60	0	0	5688
101	72	0	0	7208
102	0	0	0	-1
102	81	0	0	554
102	65	0	0	812
102	77	0	0	2097
102	64	0	0	4275
102	80	0	0	5431
102	60	0	0	5688
102	72	0	0	7208
103	0	0	0	-1
103	65	0	0	812
103	77	0	0	2097
103	64	0	0	4275
103	80	0	0	5431
103	60	0	0	5688
103	82	0	0	5918
103	72	0	0	7208
104	0	0	0	-1
104	65	0	0	812
104	77	0	0	2097
104	64	0	0	4275
104	83	0	0	4665
104	80	0	0	5431
104	60	0	0	5688
104	82	0	0	5918
105	0	0	0	-1
105	84	0	0	531
105	77	0	0	2097
105	64	0	0	4275
105	83	0	0	4665
105	80	0	0	5431
105	60	0	0	5688
105	82	0	0	5918
106	0	0	0	-1
106	84	0	0	531
106	64	0	0	4275
106	83	0	0	4665
106	80	0	0	5431
106	60	0	0	5688
106	82	0	0	5918
107	0	0	0	-1
107	84	0	0	531
107	64	0	0	4275
107	83	0	0	4665
107	80	0	0	5431
107	82	0	0	5918
107	85	0	0	6355
108	0	0	0	-1
108	86	0	0	2297
108	64	0	0	4275
108	83	0	0	4665
108	80	0	0	5431
108	82	0	0	5918
108	85	0	0	6355
109	0	0	0	-1
109	86	0	0	2297
109	64	0	0	4275
109	83	0	0	4665
109	82	0	0	5918
109	85	0	0	6355
109	87	0	0	6571
110	0	0	0	-1
110	88	0	0	411
110	64	0	0	4275
110	83	0	0	4665
110	82	0	0	5918
110	85	0	0	6355
110	87	0	0	6571
111	0	0	0	-1
111	88	0	0	411
111	64	0	0	4275
111	83	0	0	4665
111	82	0	0	5918
111	89	0	0	6065
111	85	0	0	6355
112	0	0	0	-1
112	88	0	0	411
112	83	0	0	4665
112	90	0	0	5621
112	82	0	0	5918
112	89	0	0	6065
112	85	0	0	6355
113	0	0	0	-1
113	88	0	0	411
113	64	0	0	4275
113	83	0	0	4665
113	90	0	0	5621
113	82	0	0	5918
113	89	0	0	6065
113	85	0	0	6355
114	0	0	0	-1
114	88	0	0	411
114	91	0	0	4033
114	64	0	0	4275
114	83	0	0	4665
114	90	0	0	5621
114	82	0	0	5918
114	89	0	0	6065
115	0	0	0	-1
115	88	0	0	411
115	92	0	0	3309
115	91	0	0	4033
115	64	0	0	4275
115	83	0	0	4665
115	90	0	0	5621
115	82	0	0	5918
115	89	0	0	6065
116	0	0	0	-1
116	88	0	0	411
116	92	0	0	3309
116	91	0	0	4033
116	64	0	0	4275
116	90	0	0	5621
116	82	0	0	5918
116	89	0	0	6065
117	0	0	0	-1
117	88	0	0	411
117	93	0	0	1569
117	92	0	0	3309
117	91	0	0	4033
117	90	0	0	5621
117	82	0	0	5918
117	89	0	0	6065
118	0	0	0	-1
118	88	0	0	411
118	94	0	0	1565
118	93	0	0	1569
118	92	0	0	3309
118	91	0	0	4033
118	90	0	0	5621
118	82	0	0	5918
118	89	0	0	6065
119	0	0	0	-1
119	88	0	0	411
119	94	0	0	1565
119	93	0	0	1569
119	92	0	0	3309
119	91	0	0	4033
119	90	0	0	5621
119	82	0	0	5918
119	89	0	0	6065
119	95	0	0	6672
120	0	0	0	-1
120	88	0	0	411
120	94	0	0	1565
120	93	0	0	1569
120	92	0	0	3309
120	91	0	0	4033
120	96	0	0	5821
120	82	0	0	5918
120	89	0	0	6065
120	95	0	0	6672
121	0	0	0	-1
121	88	0	0	411
121	94	0	0	1565
121	93	0	0	1569
121	97	0	0	2849
121	92	0	0	3309
121	91	0	0	4033
121	96	0	0	5821
121	82	0	0	5918
121	95	0	0	6672
122	0	0	0	-1
122	94	0	0	1565
122	93	0	0	1569
122	97	0	0	2849
122	92	0	0	3309
122	91	0	0	4033
122	96	0	0	5821
122	82	0	0	5918
122	95	0	0	6672
123	0	0	0	-1
123	93	0	0	1569
123	97	0	0	2849
123	92	0	0	3309
123	91	0	0	4033
123	96	0	0	5821
123	82	0	0	5918
123	98	0	0	5979
123	95	0	0	6672
124	0	0	0	-1
124	93	0	0	1569
124	92	0	0	3309
124	91	0	0	4033
124	96	0	0	5821
124	82	0	0	5918
124	98	0	0	5979
124	99	0	0	6386
124	95	0	0	6672
125	0	0	0	-1
125	93	0	0	1569
125	92	0	0	3309
125	91	0	0	4033
125	96	0	0	5821
125	82	0	0	5918
125	99	0	0	6386
125	95	0	0	6672
126	0	0	0	-1
126	93	0	0	1569
126	91	0	0	4033
126	96	0	0	5821
126	82	0	0	5918
126	99	0	0	6386
126	95	0	0	6672
127	0	0	0	-1
127	93	0	0	1569
127	100	0	0	2242
127	91	0	0	4033
127	96	0	0	5821
127	82	0	0	5918
127	99	0	0	6386
127	95	0	0	6672
128	0	0	0	-1
128	93	0	0	1569
128	100	0	0	2242
128	101	0	0	2515
128	91	0	0	4033
128	96	0	0	5821
128	82	0	0	5918
128	95	0	0	6672
129	0	0	0	-1
129	93	0	0	1569
129	100	0	0	2242
129	101	0	0	2515
129	96	0	0	5821
129	82	0	0	5918
129	102	0	0	6401
129	95	0	0	6672
130	0	0	0	-1
130	93	0	0	1569
130	100	0	0	2242
130	103	0	0	3011
130	96	0	0	5821
130	82	0	0	5918
130	102	0	0	6401
130	95	0	0	6672
131	0	0	0	-1
131	93	0	0	1569
131	100	0	0	2242
131	103	0	0	3011
131	104	0	0	3899
131	96	0	0	5821
131	82	0	0	5918
131	102	0	0	6401
131	95	0	0	6672
132	0	0	0	-1
132	105	0	0	731
132	93	0	0	1569
132	100	0	0	2242
132	103	0	0	3011
132	96	0	0	5821
132	82	0	0	5918
132	102	0	0	6401
132	95	0	0	6672
133	0	0	0	-1
133	105	0	0	731
133	93	0	0	1569
133	100	0	0	2242
133	103	0	0	3011
133	106	0	0	4747
133	96	0	0	5821
133	102	0	0	6401
133	95	0	0	6672
134	0	0	0	-1
134	105	0	0	731
134	100	0	0	2242
134	103	0	0	3011
134	106	0	0	4747
134	96	0	0	5821
134	102	0	0	6401
134	95	0	0	6672
135	0	0	0	-1
135	105	0	0	731
135	100	0	0	2242
135	103	0	0	3011
135	107	0	0	3818
135	106	0	0	4747
135	96	0	0	5821
135	95	0	0	6672
136	0	0	0	-1
136	105	0	0	731
136	103	0	0	3011
136	107	0	0	3818
136	108	0	0	4328
136	106	0	0	4747
136	96	0	0	5821
136	95	0	0	6672
137	0	0	0	-1
137	105	0	0	731
137	103	0	0	3011
137	107	0	0	3818
137	109	0	0	4119
137	108	0	0	4328
137	106	0	0	4747
137	96	0	0	5821
137	95	0	0	6672
138	0	0	0	-1
138	105	0	0	731
138	103	0	0	3011
138	107	0	0	3818
138	109	0	0	4119
138	108	0	0	4328
138	106	0	0	4747
138	96	0	0	5821
138	95	0	0	6672
138	110	0	0	6723
139	0	0	0	-1
139	105	0	0	731
139	103	0	0	3011
139	109	0	0	4119
139	108	0	0	4328
139	111	0	0	4342
139	106	0	0	4747
139	96	0	0	5821
139	95	0	0	6672
139	110	0	0	6723
140	0	0	0	-1
140	105	0	0	731
140	103	0	0	3011
140	109	0	0	4119
140	108	0	0	4328
140	111	0	0	4342
140	106	0	0	4747
140	96	0	0	5821
140	95	0	0	6672
140	110	0	0	6723
140	112	0	0	7186
141	0	0	0	-1
141	105	0	0	731
141	109	0	0	4119
141	108	0	0	4328
141	111	0	0	4342
141	106	0	0	4747
141	96	0	0	5821
141	95	0	0	6672
141	110	0	0	6723
141	112	0	0	7186
142	0	0	0	-1
142	105	0	0	731
142	109	0	0	4119
142	108	0	0	4328
142	111	0	0	4342
142	106	0	0	4747
142	96	0	0	5821
142	95	0	0	6672
142	110	0	0	6723
142	112	0	0	7186
143	0	0	0	-1
143	105	0	0	731
143	114	0	0	3765
143	109	0	0	4119
143	108	0	0	4328
143	111	0	0	4342
143	106	0	0	4747
143	95	0	0	6672
143	110	0	0	6723
143	112	0	0	7186
144	0	0	0	-1
144	105	0	0	731
144	114	0	0	3765
144	109	0	0	4119
144	111	0	0	4342
144	106	0	0	4747
144	95	0	0	6672
144	110	0	0	6723
144	112	0	0	7186
145	0	0	0	-1
145	105	0	0	731
145	115	0	0	2436
145	114	0	0	3765
